title,authors,abstract,pdf_url,year,label
Learning Composable Energy Surrogates for PDE Order Reduction,,,https://papers.nips.cc/paper_files/paper/2020/file/0332d694daab22e0e0eaf7a5e88433f9-Paper.pdf,2020,Optimization
A Closer Look at the Training Strategy for Modern Meta-Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0415740eaa4d9decbc8da001d3fd805f-Paper.pdf,2020,Deep Learning
Generalised Bayesian Filtering via Sequential Monte Carlo,,,https://papers.nips.cc/paper_files/paper/2020/file/04ecb1fa28506ccb6f72b12c0245ddbc-Paper.pdf,2020,Other
On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law,,,https://papers.nips.cc/paper_files/paper/2020/file/045117b0e0a11a242b9765e79cbf113f-Paper.pdf,2020,Other
Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates,,,https://papers.nips.cc/paper_files/paper/2020/file/03793ef7d06ffd63d34ade9d091f1ced-Paper.pdf,2020,Reinforcement Learning
Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time,,,https://papers.nips.cc/paper_files/paper/2020/file/05128e44e27c36bdba71221bfccf735d-Paper.pdf,2020,Optimization
Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee,,,https://papers.nips.cc/paper_files/paper/2020/file/05a624166c8eb8273b8464e8d9cb5bd9-Paper.pdf,2020,Deep Learning
Learning Manifold Implicitly via Explicit Heat-Kernel Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/05e2a0647e260c355dd2b2175edb45b8-Paper.pdf,2020,Deep Learning
Simultaneous Preference and Metric Learning from Paired Comparisons,,,https://papers.nips.cc/paper_files/paper/2020/file/0561bc7ecba98e39ca7994f93311ba23-Paper.pdf,2020,Optimization
Flows for simultaneous manifold learning and density estimation,,,https://papers.nips.cc/paper_files/paper/2020/file/051928341be67dcba03f0e04104d9047-Paper.pdf,2020,Other
Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network,,,https://papers.nips.cc/paper_files/paper/2020/file/05ee45de8d877c3949760a94fa691533-Paper.pdf,2020,Deep Learning
One-bit Supervision for Image Classification,,,https://papers.nips.cc/paper_files/paper/2020/file/05f971b5ec196b8c65b75d2ef8267331-Paper.pdf,2020,Other
Submodular Maximization Through Barrier Functions,,,https://papers.nips.cc/paper_files/paper/2020/file/061412e4a03c02f9902576ec55ebbe77-Paper.pdf,2020,Other
What is being transferred in transfer learning?,,,https://papers.nips.cc/paper_files/paper/2020/file/0607f4c705595b911a4f3e7a127b44e0-Paper.pdf,2020,Other
Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction,,,https://papers.nips.cc/paper_files/paper/2020/file/0663a4ddceacb40b095eda264a85f15c-Paper.pdf,2020,Other
Neural Networks with Recurrent Generative Feedback,,,https://papers.nips.cc/paper_files/paper/2020/file/0660895c22f8a14eb039bfb9beb0778f-Paper.pdf,2020,Other
Improving Inference for Neural Image Compression,,,https://papers.nips.cc/paper_files/paper/2020/file/066f182b787111ed4cb65ed437f0855b-Paper.pdf,2020,Other
FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,,,https://papers.nips.cc/paper_files/paper/2020/file/06964dce9addb1c5cb5d6e3d9838f733-Paper.pdf,2020,Other
Exploiting weakly supervised visual patterns to learn from partial annotations,,,https://papers.nips.cc/paper_files/paper/2020/file/066ca7bf90807fcd8e4f1eaef4e4e8f7-Paper.pdf,2020,Other
Neuron Merging: Compensating for Pruned Neurons,,,https://papers.nips.cc/paper_files/paper/2020/file/0678ca2eae02d542cc931e81b74de122-Paper.pdf,2020,Other
Rankmax: An Adaptive Projection Alternative to the Softmax Function,,,https://papers.nips.cc/paper_files/paper/2020/file/070dbb6024b5ef93784428afc71f2146-Paper.pdf,2020,Other
Online Agnostic Boosting via Regret Minimization,,,https://papers.nips.cc/paper_files/paper/2020/file/07168af6cb0ef9f78dae15739dd73255-Paper.pdf,2020,Other
Reinforcement Learning with Combinatorial Actions: An Application to Vehicle Routing,,,https://papers.nips.cc/paper_files/paper/2020/file/06a9d51e04213572ef0720dd27a84792-Paper.pdf,2020,Other
Causal Intervention for Weakly-Supervised Semantic Segmentation,,,https://papers.nips.cc/paper_files/paper/2020/file/07211688a0869d995947a8fb11b215d6-Paper.pdf,2020,Other
Belief Propagation Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/07217414eb3fbe24d4e5b6cafb91ca18-Paper.pdf,2020,Other
Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality,,,https://papers.nips.cc/paper_files/paper/2020/file/0740bb92e583cd2b88ec7c59f985cb41-Paper.pdf,2020,Other
Post-training Iterative Hierarchical Data Augmentation for Deep Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/074177d3eb6371e32c16c55a3b8f706b-Paper.pdf,2020,Other
Towards Playing Full MOBA Games with Deep Reinforcement Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/06d5ae105ea1bea4d800bc96491876e9-Paper.pdf,2020,Other
Fairness without Demographics through Adversarially Reweighted Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/07fc15c9d169ee48573edd749d25945d-Paper.pdf,2020,Other
Stochastic Latent Actor-Critic: Deep Reinforcement Learning with a Latent Variable Model,,,https://papers.nips.cc/paper_files/paper/2020/file/08058bf500242562c0d031ff830ad094-Paper.pdf,2020,Other
Deep reconstruction of strange attractors from time series,,,https://papers.nips.cc/paper_files/paper/2020/file/021bbc7ee20b71134d53e20206bd6feb-Paper.pdf,2020,Other
Robust compressed sensing using generative models,,,https://papers.nips.cc/paper_files/paper/2020/file/07cb5f86508f146774a2fac4373a8e50-Paper.pdf,2020,Other
Ridge Rider: Finding Diverse Solutions by Following Eigenvectors of the Hessian,,,https://papers.nips.cc/paper_files/paper/2020/file/08425b881bcde94a383cd258cea331be-Paper.pdf,2020,Other
Online Algorithm for Unsupervised Sequential Selection with Contextual Information,,,https://papers.nips.cc/paper_files/paper/2020/file/08e5d8066881eab185d0de9db3b36c7f-Paper.pdf,2020,Other
What went wrong and when? Instance-wise feature importance for time-series black-box models,,,https://papers.nips.cc/paper_files/paper/2020/file/08fa43588c2571ade19bc0fa5936e028-Paper.pdf,2020,Other
Adapting Neural Architectures Between Domains,,,https://papers.nips.cc/paper_files/paper/2020/file/08f38e0434442128fab5ead6217ca759-Paper.pdf,2020,Deep Learning
Towards Better Generalization of Adaptive Gradient Methods,,,https://papers.nips.cc/paper_files/paper/2020/file/08fb104b0f2f838f3ce2d2b3741a12c2-Paper.pdf,2020,Optimization
The route to chaos in routing games: When is price of anarchy too optimistic?,,,https://papers.nips.cc/paper_files/paper/2020/file/0887f1a5b9970ad13f46b8c1485f7900-Paper.pdf,2020,Optimization
Tree! I am no Tree! I am a low dimensional Hyperbolic Embedding,,,https://papers.nips.cc/paper_files/paper/2020/file/093f65e080a295f8076b1c5722a46aa2-Paper.pdf,2020,Other
Deep Structural Causal Models for Tractable Counterfactual Inference,,,https://papers.nips.cc/paper_files/paper/2020/file/0987b8b338d6c90bbedd8631bc499221-Paper.pdf,2020,Other
Learning Guidance Rewards with Trajectory-space Smoothing,,,https://papers.nips.cc/paper_files/paper/2020/file/0912d0f15f1394268c66639e39b26215-Paper.pdf,2020,Reinforcement Learning
Variance Reduction via Accelerated Dual Averaging for Finite-Sum Optimization,,,https://papers.nips.cc/paper_files/paper/2020/file/093b60fd0557804c8ba0cbf1453da22f-Paper.pdf,2020,Optimization
A Statistical Framework for Low-bitwidth Training of Deep Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/099fe6b0b444c23836c4a5d07346082b-Paper.pdf,2020,Deep Learning
Better Set Representations For Relational Reasoning,,,https://papers.nips.cc/paper_files/paper/2020/file/09ccf3183d9e90e5ae1f425d5f9b2c00-Paper.pdf,2020,Other
AutoSync: Learning to Synchronize for Data-Parallel Distributed Deep Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0a2298a72858d90d5c4b4fee954b6896-Paper.pdf,2020,Deep Learning
Hardness of Learning Neural Networks with Natural Weights,,,https://papers.nips.cc/paper_files/paper/2020/file/0a4dc6dae338c9cb08947c07581f77a2-Paper.pdf,2020,Deep Learning
Higher-Order Spectral Clustering of Directed Graphs,,,https://papers.nips.cc/paper_files/paper/2020/file/0a5052334511e344f15ae0bfafd47a67-Paper.pdf,2020,Other
Primal-Dual Mesh Convolutional Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0a656cc19f3f5b41530182a9e03982a4-Paper.pdf,2020,Deep Learning
The Advantage of Conditional Meta-Learning for Biased Regularization and Fine Tuning,,,https://papers.nips.cc/paper_files/paper/2020/file/0a716fe8c7745e51a3185fc8be6ca23a-Paper.pdf,2020,Deep Learning
Sinkhorn Barycenter via Functional Gradient Descent,,,https://papers.nips.cc/paper_files/paper/2020/file/0a93091da5efb0d9d5649e7f6b2ad9d7-Paper.pdf,2020,Optimization
Watch out! Motion is Blurring the Vision of Your Deep Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0a73de68f10e15626eb98701ecf03adb-Paper.pdf,2020,Other
Coresets for Near-Convex Functions,,,https://papers.nips.cc/paper_files/paper/2020/file/0afe095e81a6ac76ff3f69975cb3e7ae-Paper.pdf,2020,Other
Bayesian Deep Ensembles via the Neural Tangent Kernel,,,https://papers.nips.cc/paper_files/paper/2020/file/0b1ec366924b26fc98fa7b71a9c249cf-Paper.pdf,2020,Other
Improved Schemes for Episodic Memory-based Lifelong Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0b5e29aa1acf8bdc5d8935d7036fa4f5-Paper.pdf,2020,Other
A Combinatorial Perspective on Transfer Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0a3b6f64f0523984e51323fe53b8c504-Paper.pdf,2020,Other
Convolutional Generation of Textured 3D Meshes,,,https://papers.nips.cc/paper_files/paper/2020/file/098d86c982354a96556bd861823ebfbd-Paper.pdf,2020,Other
Taming Discrete Integration via the Boon of Dimensionality,,,https://papers.nips.cc/paper_files/paper/2020/file/0baf163c24ed14b515aaf57a9de5501c-Paper.pdf,2020,Other
Discovering Reinforcement Learning Algorithms,,,https://papers.nips.cc/paper_files/paper/2020/file/0b96d81f0494fde5428c7aea243c9157-Paper.pdf,2020,Other
Adaptive Sampling for Stochastic Risk-Averse Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0b6ace9e8971cf36f1782aa982a708db-Paper.pdf,2020,Other
Deep Wiener Deconvolution: Wiener Meets Deep Learning for Image Deblurring,,,https://papers.nips.cc/paper_files/paper/2020/file/0b8aff0438617c055eb55f0ba5d226fa-Paper.pdf,2020,Other
Simplify and Robustify Negative Sampling for Implicit Collaborative Filtering,,,https://papers.nips.cc/paper_files/paper/2020/file/0c7119e3a6a2209da6a5b90e5b5b75bd-Paper.pdf,2020,Other
Model Selection for Production System via Automated Online Experiments,,,https://papers.nips.cc/paper_files/paper/2020/file/0c72cb7ee1512f800abe27823a792d03-Paper.pdf,2020,Other
On the Almost Sure Convergence of Stochastic Gradient Descent in Non-Convex Problems,,,https://papers.nips.cc/paper_files/paper/2020/file/0cb5ebb1b34ec343dfe135db691e4a85-Paper.pdf,2020,Other
Automatic Perturbation Analysis for Scalable Certified Robustness and Beyond,,,https://papers.nips.cc/paper_files/paper/2020/file/0cbc5671ae26f67871cb914d81ef8fc1-Paper.pdf,2020,Other
Adaptation Properties Allow Identification of Optimized Neural Codes,,,https://papers.nips.cc/paper_files/paper/2020/file/0cc24cb7c26586310cc95c8cb1a81cbc-Paper.pdf,2020,Other
Global Convergence and Variance Reduction for a Class of Nonconvex-Nonconcave Minimax Problems,,,https://papers.nips.cc/paper_files/paper/2020/file/0cc6928e741d75e7a92396317522069e-Paper.pdf,2020,Other
Online Influence Maximization under Linear Threshold Model,,,https://papers.nips.cc/paper_files/paper/2020/file/0d352b4d3a317e3eae221199fdb49651-Paper.pdf,2020,Other
Model-Based Multi-Agent RL in Zero-Sum Markov Games with Near-Optimal Sample Complexity,,,https://papers.nips.cc/paper_files/paper/2020/file/0cc6ee01c82fc49c28706e0918f57e2d-Paper.pdf,2020,Other
Conservative Q-Learning for Offline Reinforcement Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0d2b2061826a5df3221116a5085a6052-Paper.pdf,2020,Other
Asymmetric Shapley values: incorporating causal knowledge into model-agnostic explainability,,,https://papers.nips.cc/paper_files/paper/2020/file/0d770c496aa3da6d2c3f2bd19e7b9d6b-Paper.pdf,2020,Other
Blind Video Temporal Consistency via Deep Video Prior,,,https://papers.nips.cc/paper_files/paper/2020/file/0c0a7566915f4f24853fc4192689aa7e-Paper.pdf,2020,Other
Ensembling geophysical models with Bayesian Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0d5501edb21a59a43435efa67f200828-Paper.pdf,2020,Deep Learning
Planning in Markov Decision Processes with Gap-Dependent Sample Complexity,,,https://papers.nips.cc/paper_files/paper/2020/file/0d85eb24e2add96ff1a7021f83c1abc9-Paper.pdf,2020,Reinforcement Learning
Provably Good Batch Off-Policy Reinforcement Learning Without Great Exploration,,,https://papers.nips.cc/paper_files/paper/2020/file/0dc23b6a0e4abc39904388dd3ffadcd1-Paper.pdf,2020,Reinforcement Learning
Detection as Regression: Certified Object Detection with Median Smoothing,,,https://papers.nips.cc/paper_files/paper/2020/file/0dd1bc593a91620daecf7723d2235624-Paper.pdf,2020,Computer Vision
Contextual Reserve Price Optimization in Auctions via Mixed Integer Programming,,,https://papers.nips.cc/paper_files/paper/2020/file/0e1bacf07b14673fcdb553da51b999a5-Paper.pdf,2020,Optimization
ExpandNets: Linear Over-parameterization to Train Compact Convolutional Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0e1ebad68af7f0ae4830b7ac92bc3c6f-Paper.pdf,2020,Deep Learning
FleXOR: Trainable Fractional Quantization,,,https://papers.nips.cc/paper_files/paper/2020/file/0e230b1a582d76526b7ad7fc62ae937d-Paper.pdf,2020,Optimization
Understanding Deep Architecture with Reasoning Layer,,,https://papers.nips.cc/paper_files/paper/2020/file/0d82627e10660af39ea7eb69c3568955-Paper.pdf,2020,Deep Learning
The Implications of Local Correlation on Learning Some Deep Functions,,,https://papers.nips.cc/paper_files/paper/2020/file/0e4ceef65add6cf21c0f3f9da53b71c0-Paper.pdf,2020,Deep Learning
A Game Theoretic Analysis of Additive Adversarial Attacks and Defenses,,,https://papers.nips.cc/paper_files/paper/2020/file/0ea6f098a59fcf2462afc50d130ff034-Paper.pdf,2020,Other
Recurrent Quantum Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0ec96be397dd6d3cf2fecb4a2d627c1c-Paper.pdf,2020,Deep Learning
Posterior Network: Uncertainty Estimation without OOD Samples via Density-Based Pseudo-Counts,,,https://papers.nips.cc/paper_files/paper/2020/file/0eac690d7059a8de4b48e90f14510391-Paper.pdf,2020,Deep Learning
Learning to search efficiently for causally near-optimal treatments,,,https://papers.nips.cc/paper_files/paper/2020/file/0e900ad84f63618452210ab8baae0218-Paper.pdf,2020,Reinforcement Learning
No-Regret Learning and Mixed Nash Equilibria: They Do Not Mix,,,https://papers.nips.cc/paper_files/paper/2020/file/0ed9422357395a0d4879191c66f4faa2-Paper.pdf,2020,Optimization
A Unifying View of Optimism in Episodic Reinforcement Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0f0e13216262f4a201bec128044dd30f-Paper.pdf,2020,Reinforcement Learning
Continuous Submodular Maximization: Beyond DR-Submodularity,,,https://papers.nips.cc/paper_files/paper/2020/file/0f34132b15dd02f282a11ea1e322a96d-Paper.pdf,2020,Optimization
An Asymptotically Optimal Primal-Dual Incremental Algorithm for Contextual Linear Bandits,,,https://papers.nips.cc/paper_files/paper/2020/file/0f34314d2dd0c1b9311cb8f40eb4f255-Paper.pdf,2020,Other
On the Similarity between the Laplace and Neural Tangent Kernels,,,https://papers.nips.cc/paper_files/paper/2020/file/1006ff12c465532f8c574aeaa4461b16-Paper.pdf,2020,Other
Assessing SATNet's Ability to Solve the Symbol Grounding Problem,,,https://papers.nips.cc/paper_files/paper/2020/file/0ff8033cf9437c213ee13937b1c4c455-Paper.pdf,2020,Other
Debugging Tests for Model Explanations,,,https://papers.nips.cc/paper_files/paper/2020/file/075b051ec3d22dac7b33f788da631fd4-Paper.pdf,2020,Other
HiPPO: Recurrent Memory with Optimal Polynomial Projections,,,https://papers.nips.cc/paper_files/paper/2020/file/102f0bb6efb3a6128a3c750dd16729be-Paper.pdf,2020,Other
A causal view of compositional zero-shot recognition,,,https://papers.nips.cc/paper_files/paper/2020/file/1010cedf85f6a7e24b087e63235dc12e-Paper.pdf,2020,Other
CASTLE: Regularization via Auxiliary Causal Graph Discovery,,,https://papers.nips.cc/paper_files/paper/2020/file/1068bceb19323fe72b2b344ccf85c254-Paper.pdf,2020,Other
Auto Learning Attention,,,https://papers.nips.cc/paper_files/paper/2020/file/103303dd56a731e377d01f6a37badae3-Paper.pdf,2020,Other
Long-Tailed Classification by Keeping the Good and Removing the Bad Momentum Causal Effect,,,https://papers.nips.cc/paper_files/paper/2020/file/1091660f3dff84fd648efe31391c5524-Paper.pdf,2020,Other
Explainable Voting,,,https://papers.nips.cc/paper_files/paper/2020/file/10c72a9d42dd07a028ee910f7854da5d-Paper.pdf,2020,Other
Delving into the Cyclic Mechanism in Semi-supervised Video Object Segmentation,,,https://papers.nips.cc/paper_files/paper/2020/file/0d5bd023a3ee11c7abca5b42a93c4866-Paper.pdf,2020,Other
Re-Examining Linear Embeddings for High-Dimensional Bayesian Optimization,,,https://papers.nips.cc/paper_files/paper/2020/file/10fb6cfa4c990d2bad5ddef4f70e8ba2-Paper.pdf,2020,Other
Deep Archimedean Copulas,,,https://papers.nips.cc/paper_files/paper/2020/file/10eb6500bd1e4a3704818012a1593cc3-Paper.pdf,2020,Other
A Bayesian Nonparametrics View into Deep Representations,,,https://papers.nips.cc/paper_files/paper/2020/file/0ffaca95e3e5242ba1097ad8a9a6e95d-Paper.pdf,2020,Other
Neural Networks Fail to Learn Periodic Functions and How to Fix It,,,https://papers.nips.cc/paper_files/paper/2020/file/1160453108d3e537255e9f7b931f4e90-Paper.pdf,2020,Other
Learning to Dispatch for Job Shop Scheduling via Deep Reinforcement Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/11958dfee29b6709f48a9ba0387a2431-Paper.pdf,2020,Other
On Adaptive Attacks to Adversarial Example Defenses,,,https://papers.nips.cc/paper_files/paper/2020/file/11f38f8ecd71867b42433548d1078e38-Paper.pdf,2020,Other
UnModNet: Learning to Unwrap a Modulo Image for High Dynamic Range Imaging,,,https://papers.nips.cc/paper_files/paper/2020/file/1102a326d5f7c9e04fc3c89d0ede88c9-Paper.pdf,2020,Other
Distribution Matching for Crowd Counting,,,https://papers.nips.cc/paper_files/paper/2020/file/118bd558033a1016fcc82560c65cca5f-Paper.pdf,2020,Other
Online Sinkhorn: Optimal Transport distances from sample streams,,,https://papers.nips.cc/paper_files/paper/2020/file/123650dd0560587918b3d771cf0c0171-Paper.pdf,2020,Other
Sinkhorn Natural Gradient for Generative Models,,,https://papers.nips.cc/paper_files/paper/2020/file/122e27d57ae8ecb37f3f1da67abb33cb-Paper.pdf,2020,Other
Thunder: a Fast Coordinate Selection Solver for  Sparse Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/11348e03e23b137d55d94464250a67a2-Paper.pdf,2020,Optimization
Compositional Generalization via Neural-Symbolic Stack Machines,,,https://papers.nips.cc/paper_files/paper/2020/file/12b1e42dc0746f22cf361267de07073f-Paper.pdf,2020,Deep Learning
Unreasonable Effectiveness of Greedy Algorithms in Multi-Armed Bandit with Many Arms,,,https://papers.nips.cc/paper_files/paper/2020/file/12d16adf4a9355513f9d574b76087a08-Paper.pdf,2020,Optimization
Graphon Neural Networks and the Transferability of Graph Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/12bcd658ef0a540cabc36cdf2b1046fd-Paper.pdf,2020,Deep Learning
Ultrahyperbolic Representation Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/123b7f02433572a0a560e620311a469c-Paper.pdf,2020,Other
Deep Transformers with Latent Depth,,,https://papers.nips.cc/paper_files/paper/2020/file/1325cdae3b6f0f91a1b629307bf2d498-Paper.pdf,2020,Deep Learning
Locally-Adaptive Nonparametric Online Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/12780ea688a71dabc284b064add459a4-Paper.pdf,2020,Optimization
A Scalable MIP-based Method for Learning Optimal Multivariate Decision Trees,,,https://papers.nips.cc/paper_files/paper/2020/file/1373b284bc381890049e92d324f56de0-Paper.pdf,2020,Optimization
Efficient Exact Verification of Binarized Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/1385974ed5904a438616ff7bdb3f7439-Paper.pdf,2020,Deep Learning
Correspondence learning via linearly-invariant embedding,,,https://papers.nips.cc/paper_files/paper/2020/file/11953163dd7fb12669b41a48f78a29b6-Paper.pdf,2020,Computer Vision
Ultra-Low Precision 4-bit Training of Deep Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/13b919438259814cd5be8cb45877d577-Paper.pdf,2020,Deep Learning
Statistical control for spatio-temporal MEG/EEG source imaging with desparsified mutli-task Lasso,,,https://papers.nips.cc/paper_files/paper/2020/file/1359aa933b48b754a2f54adb688bfa77-Paper.pdf,2020,Other
Outlier Robust Mean Estimation with Subgaussian Rates via Stability,,,https://papers.nips.cc/paper_files/paper/2020/file/13ec9935e17e00bed6ec8f06230e33a9-Paper.pdf,2020,Optimization
On Numerosity of Deep Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/13e36f06c66134ad65f532e90d898545-Paper.pdf,2020,Deep Learning
Information Theoretic Counterfactual Learning from Missing-Not-At-Random Feedback,,,https://papers.nips.cc/paper_files/paper/2020/file/13f3cf8c531952d72e5847c4183e6910-Paper.pdf,2020,Other
Bridging the Gap between Sample-based and One-shot Neural Architecture Search with BONAS,,,https://papers.nips.cc/paper_files/paper/2020/file/13d4635deccc230c944e4ff6e03404b5-Paper.pdf,2020,Deep Learning
Gamma-Models: Generative Temporal Difference Learning for Infinite-Horizon Prediction,,,https://papers.nips.cc/paper_files/paper/2020/file/12ffb0968f2f56e51a59a6beb37b2859-Paper.pdf,2020,Other
Language Models are Few-Shot Learners,,,https://papers.nips.cc/paper_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf,2020,Other
